reciter,surah,ayah,word_idx,start_ms,end_ms,multiword_segment,audio_path
Abdul_Basit_Murattal_64kbps,78,4,0,1050,1880,0,Abdul_Basit_Murattal_64kbps/078004.wav
Abdul_Basit_Murattal_64kbps,78,4,1,1890,3630,0,Abdul_Basit_Murattal_64kbps/078004.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,4,0,150,960,0,Abu_Bakr_Ash-Shaatree_128kbps/078004.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,4,1,970,2880,0,Abu_Bakr_Ash-Shaatree_128kbps/078004.wav
Alafasy_128kbps,78,4,0,30,920,0,Alafasy_128kbps/078004.wav
Alafasy_128kbps,78,4,1,930,3020,0,Alafasy_128kbps/078004.wav
Hani_Rifai_192kbps,78,4,0,70,780,0,Hani_Rifai_192kbps/078004.wav
Hani_Rifai_192kbps,78,4,1,790,2750,0,Hani_Rifai_192kbps/078004.wav
Husary_64kbps,78,4,0,550,1780,0,Husary_64kbps/078004.wav
Husary_64kbps,78,4,1,1790,4690,0,Husary_64kbps/078004.wav
Minshawy_Murattal_128kbps,78,4,0,450,1370,0,Minshawy_Murattal_128kbps/078004.wav
Minshawy_Murattal_128kbps,78,4,1,1380,3290,0,Minshawy_Murattal_128kbps/078004.wav
Mohammad_al_Tablaway_128kbps,78,4,0,30,900,0,Mohammad_al_Tablaway_128kbps/078004.wav
Mohammad_al_Tablaway_128kbps,78,4,1,910,3810,0,Mohammad_al_Tablaway_128kbps/078004.wav
Saood_ash-Shuraym_128kbps,78,4,0,50,620,0,Saood_ash-Shuraym_128kbps/078004.wav
Saood_ash-Shuraym_128kbps,78,4,1,630,1950,0,Saood_ash-Shuraym_128kbps/078004.wav
Abdul_Basit_Murattal_64kbps,78,5,0,650,1870,0,Abdul_Basit_Murattal_64kbps/078005.wav
Abdul_Basit_Murattal_64kbps,78,5,1,1880,2760,0,Abdul_Basit_Murattal_64kbps/078005.wav
Abdul_Basit_Murattal_64kbps,78,5,2,2770,4370,0,Abdul_Basit_Murattal_64kbps/078005.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,5,0,170,1200,0,Abu_Bakr_Ash-Shaatree_128kbps/078005.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,5,1,1210,2100,0,Abu_Bakr_Ash-Shaatree_128kbps/078005.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,5,2,2110,4190,0,Abu_Bakr_Ash-Shaatree_128kbps/078005.wav
Alafasy_128kbps,78,5,0,30,1250,0,Alafasy_128kbps/078005.wav
Alafasy_128kbps,78,5,1,1260,2180,0,Alafasy_128kbps/078005.wav
Alafasy_128kbps,78,5,2,2190,5380,0,Alafasy_128kbps/078005.wav
Hani_Rifai_192kbps,78,5,0,110,1440,0,Hani_Rifai_192kbps/078005.wav
Hani_Rifai_192kbps,78,5,1,1450,2300,0,Hani_Rifai_192kbps/078005.wav
Hani_Rifai_192kbps,78,5,2,2310,4310,0,Hani_Rifai_192kbps/078005.wav
Husary_64kbps,78,5,0,1150,2310,0,Husary_64kbps/078005.wav
Husary_64kbps,78,5,1,2320,3850,0,Husary_64kbps/078005.wav
Husary_64kbps,78,5,2,3860,7150,0,Husary_64kbps/078005.wav
Minshawy_Murattal_128kbps,78,5,0,500,1640,0,Minshawy_Murattal_128kbps/078005.wav
Minshawy_Murattal_128kbps,78,5,1,1650,2720,0,Minshawy_Murattal_128kbps/078005.wav
Minshawy_Murattal_128kbps,78,5,2,2730,4630,0,Minshawy_Murattal_128kbps/078005.wav
Mohammad_al_Tablaway_128kbps,78,5,0,300,1260,0,Mohammad_al_Tablaway_128kbps/078005.wav
Mohammad_al_Tablaway_128kbps,78,5,1,1270,2210,0,Mohammad_al_Tablaway_128kbps/078005.wav
Mohammad_al_Tablaway_128kbps,78,5,2,2220,5480,0,Mohammad_al_Tablaway_128kbps/078005.wav
Saood_ash-Shuraym_128kbps,78,5,0,40,660,0,Saood_ash-Shuraym_128kbps/078005.wav
Saood_ash-Shuraym_128kbps,78,5,1,670,1300,0,Saood_ash-Shuraym_128kbps/078005.wav
Saood_ash-Shuraym_128kbps,78,5,2,1310,2640,0,Saood_ash-Shuraym_128kbps/078005.wav
Abdul_Basit_Murattal_64kbps,78,6,0,700,1250,0,Abdul_Basit_Murattal_64kbps/078006.wav
Abdul_Basit_Murattal_64kbps,78,6,1,1260,2190,0,Abdul_Basit_Murattal_64kbps/078006.wav
Abdul_Basit_Murattal_64kbps,78,6,2,2200,3090,0,Abdul_Basit_Murattal_64kbps/078006.wav
Abdul_Basit_Murattal_64kbps,78,6,3,3100,4450,0,Abdul_Basit_Murattal_64kbps/078006.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,6,0,100,700,0,Abu_Bakr_Ash-Shaatree_128kbps/078006.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,6,1,710,1650,0,Abu_Bakr_Ash-Shaatree_128kbps/078006.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,6,2,1660,2540,0,Abu_Bakr_Ash-Shaatree_128kbps/078006.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,6,3,2550,3890,0,Abu_Bakr_Ash-Shaatree_128kbps/078006.wav
Alafasy_128kbps,78,6,0,30,580,0,Alafasy_128kbps/078006.wav
Alafasy_128kbps,78,6,1,590,1590,0,Alafasy_128kbps/078006.wav
Alafasy_128kbps,78,6,2,1600,2600,0,Alafasy_128kbps/078006.wav
Alafasy_128kbps,78,6,3,2610,3480,0,Alafasy_128kbps/078006.wav
Hani_Rifai_192kbps,78,6,0,30,410,0,Hani_Rifai_192kbps/078006.wav
Hani_Rifai_192kbps,78,6,1,420,1370,0,Hani_Rifai_192kbps/078006.wav
Hani_Rifai_192kbps,78,6,2,1380,2200,0,Hani_Rifai_192kbps/078006.wav
Hani_Rifai_192kbps,78,6,3,2210,3320,0,Hani_Rifai_192kbps/078006.wav
Husary_64kbps,78,6,0,400,1200,0,Husary_64kbps/078006.wav
Husary_64kbps,78,6,1,1210,2490,0,Husary_64kbps/078006.wav
Husary_64kbps,78,6,2,2500,3800,0,Husary_64kbps/078006.wav
Husary_64kbps,78,6,3,3810,5410,0,Husary_64kbps/078006.wav
Minshawy_Murattal_128kbps,78,6,0,400,1040,0,Minshawy_Murattal_128kbps/078006.wav
Minshawy_Murattal_128kbps,78,6,1,1050,2220,0,Minshawy_Murattal_128kbps/078006.wav
Minshawy_Murattal_128kbps,78,6,2,2230,3280,0,Minshawy_Murattal_128kbps/078006.wav
Minshawy_Murattal_128kbps,78,6,3,3290,4680,0,Minshawy_Murattal_128kbps/078006.wav
Mohammad_al_Tablaway_128kbps,78,6,0,550,1060,0,Mohammad_al_Tablaway_128kbps/078006.wav
Mohammad_al_Tablaway_128kbps,78,6,1,1070,2080,0,Mohammad_al_Tablaway_128kbps/078006.wav
Mohammad_al_Tablaway_128kbps,78,6,2,2090,3060,0,Mohammad_al_Tablaway_128kbps/078006.wav
Mohammad_al_Tablaway_128kbps,78,6,3,3070,4330,0,Mohammad_al_Tablaway_128kbps/078006.wav
Saood_ash-Shuraym_128kbps,78,6,0,140,460,0,Saood_ash-Shuraym_128kbps/078006.wav
Saood_ash-Shuraym_128kbps,78,6,1,470,1170,0,Saood_ash-Shuraym_128kbps/078006.wav
Saood_ash-Shuraym_128kbps,78,6,2,1180,1790,0,Saood_ash-Shuraym_128kbps/078006.wav
Saood_ash-Shuraym_128kbps,78,6,3,1800,2720,0,Saood_ash-Shuraym_128kbps/078006.wav
Abdul_Basit_Murattal_64kbps,78,7,0,650,1840,0,Abdul_Basit_Murattal_64kbps/078007.wav
Abdul_Basit_Murattal_64kbps,78,7,1,1850,3530,0,Abdul_Basit_Murattal_64kbps/078007.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,7,0,100,1360,0,Abu_Bakr_Ash-Shaatree_128kbps/078007.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,7,1,1370,2860,0,Abu_Bakr_Ash-Shaatree_128kbps/078007.wav
Alafasy_128kbps,78,7,0,80,1420,0,Alafasy_128kbps/078007.wav
Alafasy_128kbps,78,7,1,1430,3060,0,Alafasy_128kbps/078007.wav
Hani_Rifai_192kbps,78,7,0,30,1180,0,Hani_Rifai_192kbps/078007.wav
Hani_Rifai_192kbps,78,7,1,1190,2420,0,Hani_Rifai_192kbps/078007.wav
Husary_64kbps,78,7,0,300,2130,0,Husary_64kbps/078007.wav
Husary_64kbps,78,7,1,2140,4290,0,Husary_64kbps/078007.wav
Minshawy_Murattal_128kbps,78,7,0,750,2300,0,Minshawy_Murattal_128kbps/078007.wav
Minshawy_Murattal_128kbps,78,7,1,2310,4030,0,Minshawy_Murattal_128kbps/078007.wav
Mohammad_al_Tablaway_128kbps,78,7,0,300,1670,0,Mohammad_al_Tablaway_128kbps/078007.wav
Mohammad_al_Tablaway_128kbps,78,7,1,1680,3160,0,Mohammad_al_Tablaway_128kbps/078007.wav
Saood_ash-Shuraym_128kbps,78,7,0,50,910,0,Saood_ash-Shuraym_128kbps/078007.wav
Saood_ash-Shuraym_128kbps,78,7,1,920,1990,0,Saood_ash-Shuraym_128kbps/078007.wav
Abdul_Basit_Murattal_64kbps,78,8,0,500,2370,0,Abdul_Basit_Murattal_64kbps/078008.wav
Abdul_Basit_Murattal_64kbps,78,8,1,2380,3880,0,Abdul_Basit_Murattal_64kbps/078008.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,8,0,30,1870,0,Abu_Bakr_Ash-Shaatree_128kbps/078008.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,8,1,1880,3440,0,Abu_Bakr_Ash-Shaatree_128kbps/078008.wav
Alafasy_128kbps,78,8,0,30,2010,0,Alafasy_128kbps/078008.wav
Alafasy_128kbps,78,8,1,2020,3610,0,Alafasy_128kbps/078008.wav
Hani_Rifai_192kbps,78,8,0,50,1680,0,Hani_Rifai_192kbps/078008.wav
Hani_Rifai_192kbps,78,8,1,1690,3030,0,Hani_Rifai_192kbps/078008.wav
Husary_64kbps,78,8,0,400,3050,0,Husary_64kbps/078008.wav
Husary_64kbps,78,8,1,3060,4960,0,Husary_64kbps/078008.wav
Minshawy_Murattal_128kbps,78,8,0,700,2990,0,Minshawy_Murattal_128kbps/078008.wav
Minshawy_Murattal_128kbps,78,8,1,3000,4610,0,Minshawy_Murattal_128kbps/078008.wav
Mohammad_al_Tablaway_128kbps,78,8,0,200,2110,0,Mohammad_al_Tablaway_128kbps/078008.wav
Mohammad_al_Tablaway_128kbps,78,8,1,2120,3680,0,Mohammad_al_Tablaway_128kbps/078008.wav
Saood_ash-Shuraym_128kbps,78,8,0,50,1370,0,Saood_ash-Shuraym_128kbps/078008.wav
Saood_ash-Shuraym_128kbps,78,8,1,1380,2450,0,Saood_ash-Shuraym_128kbps/078008.wav
Abdul_Basit_Murattal_64kbps,78,9,0,450,1800,0,Abdul_Basit_Murattal_64kbps/078009.wav
Abdul_Basit_Murattal_64kbps,78,9,1,1810,2910,0,Abdul_Basit_Murattal_64kbps/078009.wav
Abdul_Basit_Murattal_64kbps,78,9,2,2920,4310,0,Abdul_Basit_Murattal_64kbps/078009.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,9,0,170,1530,0,Abu_Bakr_Ash-Shaatree_128kbps/078009.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,9,1,1540,2630,0,Abu_Bakr_Ash-Shaatree_128kbps/078009.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,9,2,2640,3980,0,Abu_Bakr_Ash-Shaatree_128kbps/078009.wav
Alafasy_128kbps,78,9,0,30,1570,0,Alafasy_128kbps/078009.wav
Alafasy_128kbps,78,9,1,1580,2670,0,Alafasy_128kbps/078009.wav
Alafasy_128kbps,78,9,2,2680,3650,0,Alafasy_128kbps/078009.wav
Hani_Rifai_192kbps,78,9,0,30,1140,0,Hani_Rifai_192kbps/078009.wav
Hani_Rifai_192kbps,78,9,1,1150,2110,0,Hani_Rifai_192kbps/078009.wav
Hani_Rifai_192kbps,78,9,2,2120,3280,0,Hani_Rifai_192kbps/078009.wav
Husary_64kbps,78,9,0,300,2270,0,Husary_64kbps/078009.wav
Husary_64kbps,78,9,1,2280,3940,0,Husary_64kbps/078009.wav
Husary_64kbps,78,9,2,3950,5720,0,Husary_64kbps/078009.wav
Minshawy_Murattal_128kbps,78,9,0,450,2110,0,Minshawy_Murattal_128kbps/078009.wav
Minshawy_Murattal_128kbps,78,9,1,2120,3510,0,Minshawy_Murattal_128kbps/078009.wav
Minshawy_Murattal_128kbps,78,9,2,3520,4970,0,Minshawy_Murattal_128kbps/078009.wav
Mohammad_al_Tablaway_128kbps,78,9,0,100,1500,0,Mohammad_al_Tablaway_128kbps/078009.wav
Mohammad_al_Tablaway_128kbps,78,9,1,1510,2580,0,Mohammad_al_Tablaway_128kbps/078009.wav
Mohammad_al_Tablaway_128kbps,78,9,2,2590,3890,0,Mohammad_al_Tablaway_128kbps/078009.wav
Saood_ash-Shuraym_128kbps,78,9,0,50,1010,0,Saood_ash-Shuraym_128kbps/078009.wav
Saood_ash-Shuraym_128kbps,78,9,1,1020,1800,0,Saood_ash-Shuraym_128kbps/078009.wav
Saood_ash-Shuraym_128kbps,78,9,2,1810,2810,0,Saood_ash-Shuraym_128kbps/078009.wav
Abdul_Basit_Murattal_64kbps,78,10,0,430,1540,0,Abdul_Basit_Murattal_64kbps/078010.wav
Abdul_Basit_Murattal_64kbps,78,10,1,1550,2530,0,Abdul_Basit_Murattal_64kbps/078010.wav
Abdul_Basit_Murattal_64kbps,78,10,2,2540,3600,0,Abdul_Basit_Murattal_64kbps/078010.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,10,0,130,1170,0,Abu_Bakr_Ash-Shaatree_128kbps/078010.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,10,1,1180,2170,0,Abu_Bakr_Ash-Shaatree_128kbps/078010.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,10,2,2180,3480,0,Abu_Bakr_Ash-Shaatree_128kbps/078010.wav
Alafasy_128kbps,78,10,0,30,1150,0,Alafasy_128kbps/078010.wav
Alafasy_128kbps,78,10,1,1160,2130,0,Alafasy_128kbps/078010.wav
Alafasy_128kbps,78,10,2,2140,3050,0,Alafasy_128kbps/078010.wav
Hani_Rifai_192kbps,78,10,0,30,980,0,Hani_Rifai_192kbps/078010.wav
Hani_Rifai_192kbps,78,10,1,990,2030,0,Hani_Rifai_192kbps/078010.wav
Hani_Rifai_192kbps,78,10,2,2040,2960,0,Hani_Rifai_192kbps/078010.wav
Husary_64kbps,78,10,0,510,2040,0,Husary_64kbps/078010.wav
Husary_64kbps,78,10,1,2050,3450,0,Husary_64kbps/078010.wav
Husary_64kbps,78,10,2,3460,5060,0,Husary_64kbps/078010.wav
Minshawy_Murattal_128kbps,78,10,0,500,1800,0,Minshawy_Murattal_128kbps/078010.wav
Minshawy_Murattal_128kbps,78,10,1,1810,3030,0,Minshawy_Murattal_128kbps/078010.wav
Minshawy_Murattal_128kbps,78,10,2,3040,4160,0,Minshawy_Murattal_128kbps/078010.wav
Mohammad_al_Tablaway_128kbps,78,10,0,150,1270,0,Mohammad_al_Tablaway_128kbps/078010.wav
Mohammad_al_Tablaway_128kbps,78,10,1,1280,2270,0,Mohammad_al_Tablaway_128kbps/078010.wav
Mohammad_al_Tablaway_128kbps,78,10,2,2280,3450,0,Mohammad_al_Tablaway_128kbps/078010.wav
Saood_ash-Shuraym_128kbps,78,10,0,70,860,0,Saood_ash-Shuraym_128kbps/078010.wav
Saood_ash-Shuraym_128kbps,78,10,1,870,1480,0,Saood_ash-Shuraym_128kbps/078010.wav
Saood_ash-Shuraym_128kbps,78,10,2,1490,2420,0,Saood_ash-Shuraym_128kbps/078010.wav
Abdul_Basit_Murattal_64kbps,78,11,0,400,1510,0,Abdul_Basit_Murattal_64kbps/078011.wav
Abdul_Basit_Murattal_64kbps,78,11,1,1520,3110,0,Abdul_Basit_Murattal_64kbps/078011.wav
Abdul_Basit_Murattal_64kbps,78,11,2,3120,4340,0,Abdul_Basit_Murattal_64kbps/078011.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,11,0,140,1280,0,Abu_Bakr_Ash-Shaatree_128kbps/078011.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,11,1,1290,3370,0,Abu_Bakr_Ash-Shaatree_128kbps/078011.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,11,2,3380,4740,0,Abu_Bakr_Ash-Shaatree_128kbps/078011.wav
Alafasy_128kbps,78,11,0,30,1430,0,Alafasy_128kbps/078011.wav
Alafasy_128kbps,78,11,1,1440,3130,0,Alafasy_128kbps/078011.wav
Alafasy_128kbps,78,11,2,3140,4580,0,Alafasy_128kbps/078011.wav
Hani_Rifai_192kbps,78,11,0,150,1150,0,Hani_Rifai_192kbps/078011.wav
Hani_Rifai_192kbps,78,11,1,1160,2570,0,Hani_Rifai_192kbps/078011.wav
Hani_Rifai_192kbps,78,11,2,2580,3760,0,Hani_Rifai_192kbps/078011.wav
Husary_64kbps,78,11,0,530,2240,0,Husary_64kbps/078011.wav
Husary_64kbps,78,11,1,2250,4400,0,Husary_64kbps/078011.wav
Husary_64kbps,78,11,2,4410,6070,0,Husary_64kbps/078011.wav
Minshawy_Murattal_128kbps,78,11,0,400,1800,0,Minshawy_Murattal_128kbps/078011.wav
Minshawy_Murattal_128kbps,78,11,1,1810,3720,0,Minshawy_Murattal_128kbps/078011.wav
Minshawy_Murattal_128kbps,78,11,2,3730,5080,0,Minshawy_Murattal_128kbps/078011.wav
Mohammad_al_Tablaway_128kbps,78,11,0,40,1150,0,Mohammad_al_Tablaway_128kbps/078011.wav
Mohammad_al_Tablaway_128kbps,78,11,1,1160,2990,0,Mohammad_al_Tablaway_128kbps/078011.wav
Mohammad_al_Tablaway_128kbps,78,11,2,3000,4210,0,Mohammad_al_Tablaway_128kbps/078011.wav
Saood_ash-Shuraym_128kbps,78,11,0,60,830,0,Saood_ash-Shuraym_128kbps/078011.wav
Saood_ash-Shuraym_128kbps,78,11,1,840,1990,0,Saood_ash-Shuraym_128kbps/078011.wav
Saood_ash-Shuraym_128kbps,78,11,2,2000,2890,0,Saood_ash-Shuraym_128kbps/078011.wav
Abdul_Basit_Murattal_64kbps,78,12,0,700,1910,0,Abdul_Basit_Murattal_64kbps/078012.wav
Abdul_Basit_Murattal_64kbps,78,12,1,1920,3070,0,Abdul_Basit_Murattal_64kbps/078012.wav
Abdul_Basit_Murattal_64kbps,78,12,2,3080,4530,0,Abdul_Basit_Murattal_64kbps/078012.wav
Abdul_Basit_Murattal_64kbps,78,12,3,4540,5990,0,Abdul_Basit_Murattal_64kbps/078012.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,12,0,230,1540,0,Abu_Bakr_Ash-Shaatree_128kbps/078012.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,12,1,1550,2660,0,Abu_Bakr_Ash-Shaatree_128kbps/078012.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,12,2,2670,4050,0,Abu_Bakr_Ash-Shaatree_128kbps/078012.wav
Abu_Bakr_Ash-Shaatree_128kbps,78,12,3,4060,5420,0,Abu_Bakr_Ash-Shaatree_128kbps/078012.wav
Alafasy_128kbps,78,12,0,30,1410,0,Alafasy_128kbps/078012.wav
Alafasy_128kbps,78,12,1,1420,2580,0,Alafasy_128kbps/078012.wav
Alafasy_128kbps,78,12,2,2590,4180,0,Alafasy_128kbps/078012.wav
Alafasy_128kbps,78,12,3,4190,5760,0,Alafasy_128kbps/078012.wav
Hani_Rifai_192kbps,78,12,0,160,1310,0,Hani_Rifai_192kbps/078012.wav
Hani_Rifai_192kbps,78,12,1,1320,2330,0,Hani_Rifai_192kbps/078012.wav
Hani_Rifai_192kbps,78,12,2,2340,3700,0,Hani_Rifai_192kbps/078012.wav
Hani_Rifai_192kbps,78,12,3,3710,4940,0,Hani_Rifai_192kbps/078012.wav
Husary_64kbps,78,12,0,310,2290,0,Husary_64kbps/078012.wav
Husary_64kbps,78,12,1,2300,4060,0,Husary_64kbps/078012.wav
Husary_64kbps,78,12,2,4070,5790,0,Husary_64kbps/078012.wav
Husary_64kbps,78,12,3,5800,7580,0,Husary_64kbps/078012.wav
